net_name,type,fanout
x_ct_core_x_ct_lsu_top_x_ct_lsu_sq_x_ct_lsu_sq_entry_9_sq_entry_bond_first_only,reset,3
x_ct_core_x_ct_lsu_top_x_ct_lsu_sq_x_ct_lsu_sq_entry_10_sq_entry_bond_first_only,reset,3
x_ct_core_x_ct_lsu_top_x_ct_lsu_sq_x_ct_lsu_sq_entry_11_sq_entry_bond_first_only,reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex4_of_rst_lfn,reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[0],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[1],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[2],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[3],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[4],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[5],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[6],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[7],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[8],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[9],reset,3
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe7_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[10],reset,3
